/	VB	NNPS	RP	JJ	NN	VBD	VBN	VBP	RB	IN	NNP	
VB	143	112	0	2	18	0	2	31	0	0	0	
NNPS	0	33	0	0	0	0	0	0	0	0	4	
RP	0	1	26	0	0	0	0	0	4	6	0	
JJ	1	424	0	325	11	0	8	1	12	2	2	
NN	32	837	0	13	697	0	1	6	0	0	4	
VBD	1	112	0	0	1	270	42	0	0	0	0	
VBN	1	132	0	0	0	23	82	0	0	0	0	
VBP	12	39	0	0	2	0	1	114	0	1	0	
RB	1	72	3	8	1	0	0	0	224	12	0	
IN	0	16	4	2	0	0	0	0	9	1201	0	
NNP	0	715	0	7	0	0	0	0	0	0	496	
