/	-MISC-	SNN	SRB	SVB	SJJ	
-MISC-	5558	208	12	0	2	
SNN	6	3912	1	49	19	
SRB	31	75	225	0	20	
SVB	12	627	0	998	3	
SJJ	6	451	22	10	347	
