POS	Accuracy
VBN	0.344537815126
NNP	0.407224958949
JJ	0.411392405063
NN	0.436443331246
VB	0.464285714286
VBD	0.633802816901
VBP	0.674556213018
RB	0.68085106383
RP	0.702702702703
NNPS	0.891891891892
IN	0.965434083601
